ST,Locid,City,Airport Name,S/L,CY 24 Enplanements
GA,ATL,Atlanta,Hartsfield/Jackson Atlanta International,P,52511402
TX,DFW,Fort Worth,Dallas-Fort Worth International,P,42351316
CO,DEN,Denver,Denver International,P,40012895
IL,ORD,Chicago,Chicago O'Hare International,P,38575693
CA,LAX,Los Angeles,Los Angeles International,P,37760834
NY,JFK,New York,John F Kennedy International,P,31466102
NC,CLT,Charlotte,Charlotte/Douglas International,P,28523822
NV,LAS,Las Vegas,Harry Reid International,P,28244966
FL,MCO,Orlando,Orlando International,P,27859783
FL,MIA,Miami,Miami International,P,26588002
AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,25595723
WA,SEA,Seattle,Seattle-Tacoma International,P,25414592
CA,SFO,San Francisco International Airport,San Francisco International,P,25078968
NJ,EWR,Newark,Newark Liberty International,P,24544320
TX,IAH,Houston,George Bush Intcntl/Houston,P,23349157
MA,BOS,Boston,General Edward Lawrence Logan International,P,21090721
MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,P,18054481
FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,17096131
NY,LGA,New York,Laguardia,P,16715567
MI,DTW,Detroit,Detroit Metro Wayne County,P,16110696
PA,PHL,Philadelphia,Philadelphia International,P,15102261
UT,SLC,Salt Lake City,Salt Lake City International,P,13543570
MD,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshall,P,13221461
VA,IAD,Dulles,Washington Dulles International,P,13003234
CA,SAN,San Diego,San Diego International,P,12780013
VA,DCA,Arlington,Ronald Reagan Washington Ntl,P,12750892
FL,TPA,Tampa,Tampa International,P,12075591
TN,BNA,Nashville,Nashville International,P,12058688
TX,AUS,Austin,Austin-Bergstrom International,P,10678073
HI,HNL,Honolulu,Daniel K Inouye International,P,10449022
IL,MDW,Chicago,Chicago Midway International,P,10360093
TX,DAL,Dallas,Dallas Love Field,P,8654991
OR,PDX,Portland,Portland International,P,8639088
MO,STL,St. Louis,St Louis Lambert International,P,7807362
NC,RDU,Raleigh,Raleigh-Durham International,P,7584394
TX,HOU,Houston,William P Hobby,P,7116967
CA,SMF,Sacramento,Sacramento International,P,6679426
LA,MSY,Kenner,Louis Armstrong New Orleans International,P,6537092
PR,SJU,San Juan,Luis Munoz Marin International,P,6490669
MO,MCI,Kansas City,Kansas City International,P,5915078
CA,SJC,San Jose,Norman Y Mineta San Jose International,P,5822019
TX,SAT,San Antonio,San Antonio International,P,5466684
FL,RSW,Fort Myers,Southwest Florida International,P,5425293
CA,SNA,Santa Ana,John Wayne/Orange County,P,5370273
CA,OAK,Oakland,Oakland San Francisco Bay,P,5292736
IN,IND,Indianapolis,Indianapolis International,P,5181947
OH,CLE,Cleveland,Cleveland-Hopkins International,P,4950345
PA,PIT,Pittsburgh,Pittsburgh International,P,4862376
KY,CVG,Hebron,Cincinnati/Northern Kentucky International,P,4500414
OH,CMH,Columbus,John Glenn Columbus International,P,4387395
FL,PBI,West Palm Beach,Palm Beach International,P,4127211
FL,JAX,Jacksonville,Jacksonville International,P,3749791
CA,ONT,Ontario,Ontario International,P,3494554
HI,OGG,Kahului,Kahului,P,3415615
CA,BUR,Burbank,Bob Hope,P,3383237
CT,BDL,Windsor Locks,Bradley International,P,3285194
SC,CHS,Charleston,Charleston AFB/International,P,3115194
WI,MKE,Milwaukee,General Mitchell International,P,3104054
AK,ANC,Anchorage,Ted Stevens Anchorage International,P,2767856
NM,ABQ,Albuquerque,Albuquerque International Sunport,P,2690218
NE,OMA,Omaha,Eppley Airfield,P,2583212
NY,BUF,Buffalo,Buffalo Niagara International,P,2499295
ID,BOI,Boise,Boise Air Trml/Gowen Field,P,2475370
VA,RIC,Highland Springs,Richmond International,P,2456422
VA,ORF,Norfolk,Norfolk International,P,2444897
TN,MEM,Memphis,Memphis International,P,2439366
NV,RNO,Reno,Reno/Tahoe International,P,2377780
KY,SDF,Louisville,Louisville Muhammad Ali International,P,2343305
OK,OKC,Oklahoma City,Okc Will Rogers International,P,2243575
