ST,Locid,City,Airport Name,S/L,2008 ENP
GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,43761280
IL,ORD,Chicago,Chicago O'Hare International,P,33683991
CA,LAX,Los Angeles,Los Angeles International,P,28861477
TX,DFW,Fort Worth,Dallas/Fort Worth International,P,27219285
CO,DEN,Denver,Denver International,P,24287939
NY,JFK,New York,John F Kennedy International,P,23620948
NV,LAS,Las Vegas,McCarran International,P,21024443
TX,IAH,Houston,George Bush Intercontinental/Houston,P,20030898
AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,19450576
CA,SFO,San Francisco International Airport,San Francisco International,P,18135827
NJ,EWR,Newark,Newark Liberty International,P,17599578
FL,MCO,Orlando,Orlando International,P,17288480
NC,CLT,Charlotte,Charlotte/Douglas International,P,17281425
MI,DTW,Detroit,Detroit Metropolitan Wayne County,P,16998174
FL,MIA,Miami,Miami International,P,16377488
MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,P,16369324
WA,SEA,Seattle,Seattle-Tacoma International,P,15839504
PA,PHL,Philadelphia,Philadelphia International,P,15586852
MA,BOS,Boston,General Edward Lawrence Logan International,P,12820489
NY,LGA,New York,La Guardia,P,11567586
VA,IAD,Dulles,Washington Dulles International,P,11348775
FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,11020091
MD,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshal,P,10215225
UT,SLC,Salt Lake City,Salt Lake City International,P,9993198
HI,HNL,Honolulu,Honolulu International,P,9013440
CA,SAN,San Diego,San Diego International,P,9007617
FL,TPA,Tampa,Tampa International,P,8871917
VA,DCA,Arlington,Ronald Reagan Washington National,P,8704466
IL,MDW,Chicago,Chicago Midway International,P,8021383
OR,PDX,Portland,Portland International,P,7090526
MO,STL,St. Louis,Lambert-St Louis International,P,6740468
KY,CVG,Greater Cincinnati International Airport,Cincinnati/Northern Kentucky International,P,6648600
CA,OAK,Oakland,Metropolitan Oakland International,P,5583748
OH,CLE,Cleveland,Cleveland-Hopkins International,P,5387625
MO,MCI,Kansas City,Kansas City International,P,5386242
TN,MEM,Memphis,Memphis International,P,5376818
CA,SMF,Sacramento,Sacramento International,P,4986771
NC,RDU,Raleigh,Raleigh-Durham International,P,4792909
CA,SJC,San Jose,Norman Y. Mineta San Jose International,P,4780264
TN,BNA,Nashville,Nashville International,P,4648000
PR,SJU,San Juan,Luis Munoz Marin International,P,4635798
CA,SNA,Santa Ana,John Wayne Airport-Orange County,P,4464380
PA,PIT,Pittsburgh,Pittsburgh International,P,4292546
TX,AUS,Austin,Austin-Bergstrom International,P,4268536
TX,HOU,Houston,William P Hobby,P,4246907
IN,IND,Indianapolis,Indianapolis International,P,4061450
TX,DAL,Dallas,Dallas Love Field,P,4021976
TX,SAT,San Antonio,San Antonio International,P,4018866
LA,MSY,Metairie,Louis Armstrong New Orleans International,P,3990374
WI,MKE,Milwaukee,General Mitchell International,P,3861333
FL,RSW,Fort Myers,Southwest Florida International,P,3770681
OH,CMH,Columbus,Port Columbus International,P,3419513
FL,PBI,West Palm Beach,Palm Beach International,P,3232009
NM,ABQ,Albuquerque,Albuquerque International Sunport,P,3158971
CT,BDL,Windsor Locks,Bradley International,P,3006362
CA,ONT,Ontario,Ontario International,P,2998110
FL,JAX,Jacksonville,Jacksonville International,P,2965973
NY,BUF,Buffalo,Buffalo Niagara International,P,2744501
HI,OGG,Kahului,Kahului,P,2652335
CA,BUR,Burbank,Bob Hope,P,2647287
AK,ANC,Anchorage,Ted Stevens Anchorage International,P,2599313
RI,PVD,Warwick,Theodore Francis Green State,P,2342593
NV,RNO,Reno,Reno/Tahoe International,P,2150816
NE,OMA,Omaha,Eppley Airfield,P,2136880
AZ,TUS,Tucson,Tucson International,P,2070573
KY,SDF,Louisville,Louisville International-Standiford Field,P,1845317
OK,OKC,Oklahoma City,Will Rogers World,P,1838709
NH,MHT,Manchester,Manchester,P,1834875
VA,ORF,Norfolk,Norfolk International,P,1786594
VA,RIC,Highland Springs,Richmond International,P,1733668
WA,GEG,Spokane,Spokane International,P,1691345
AL,BHM,Birmingham,Birmingham-Shuttlesworth International,P,1623506
TX,ELP,El Paso,El Paso International,P,1613946
OK,TUL,Tulsa,Tulsa International,P,1606622
ID,BOI,Boise,Boise Air Terminal/Gowen Field,P,1574210
OH,DAY,Dayton,James M Cox Dayton International,P,1454618
CA,LGB,Long Beach,Long Beach /Daugherty Field/,P,1413251
NY,ALB,Albany,Albany International,P,1365854
NY,ROC,Rochester,Greater Rochester International,P,1349694
HI,KOA,Kailua Kona,Kona International at Keahole,P,1332667
GU,GUM,Tamuning,Guam International,P,1314725
HI,LIH,Lihue,Lihue,P,1287696
AR,LIT,Little Rock,Adams Field,P,1181846
SC,CHS,Charleston,Charleston AFB/International,P,1174667
NY,SYR,Syracuse,Syracuse Hancock International,P,1105143
